sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.7416540903985687,0.003563972839136713,0.05,,False,1.1140572514825613,-1.4590561824339918,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.1157197677062625,0.025411516523861383,0.05,,False,1.0993381630695134,-0.7874227989800691,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.6364596061500993,0.08569347212729084,0.05,,False,1.0147431681459305,-0.6677792705218364,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.603769036742216,0.09222078364757119,0.05,,False,1.2793807161535975,-1.743397185916776,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.39227880127562,0.14392752960048683,0.05,,False,0.793148182748637,0.7150161468244489,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.298000405807509,0.1726136914992521,0.05,,False,0.8527654655834058,1.0929143179917862,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.290646695563291,0.1750023457572462,0.05,,False,0.7218829895044689,1.9146550400436535,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.2292813813385983,0.1957901360508536,0.05,,False,1.2034935401805336,-1.274255159672709,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.1676220812927136,0.2182058789639832,0.05,,False,0.8687297948767053,1.0302558705068683,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.0631797495878628,0.2595755236198203,0.05,,False,1.0956955561401778,-0.4169306678665041,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.0321779316222197,0.2726448023445225,0.05,,False,0.7926356761019501,1.3218023171855546,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.021355852520131,0.27728850901172974,0.05,,False,1.0218212265268476,-0.08762829643173475,,,,,,,,,,,,,,
