sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.4649451100416435,0.008934362044649499,0.05,,False,1.1140115001997333,-1.4592900391769081,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.145987566783822,0.02333184982696387,0.05,,False,1.0983144241978302,-0.7823127476234655,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.6582283401165996,0.08154967486477394,0.05,,False,1.2714155471144202,-1.7042651023174278,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.602745185836344,0.09243121969551588,0.05,,False,1.015642765406782,-0.6724752556094318,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.499272093757155,0.11565153267805983,0.05,,False,0.7988817944791886,0.6886950508065905,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.3962460169914603,0.14279874717507002,0.05,,False,0.8591861591909226,1.063467003292108,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.3269583177791655,0.16342071267558594,0.05,,False,0.7213210276064769,1.9178473577810138,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.1950929186122456,0.208031262662995,0.05,,False,1.0132100775161863,-0.047977489095557324,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.170551946355065,0.21710643818159153,0.05,,False,0.868099721431566,1.0333786160588598,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.170311207427672,0.21719664804853878,0.05,,False,1.2036522842419763,-1.2755910049615542,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.068392538960842,0.25741252699355044,0.05,,False,0.7912279283211605,1.3286990630182602,,,,,,,,,,,,,,
CA_BANKS,CM.TO,RY.TO,CANADIAN IMPERIAL BANK OF COMME,ROYAL BANK OF CANADA,-2.066003716531322,0.2584024985608958,0.05,,False,1.3943262000737433,-2.688023703310349,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.0477844017942988,0.2660220043269006,0.05,,False,1.0969033969905155,-0.42316600149351835,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,BNS.TO,BANK OF MONTREAL,BANK OF NOVA SCOTIA,-1.966473527766899,0.3014639286201437,0.05,,False,1.0781827183730908,0.311056492210394,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,TD.TO,BANK OF NOVA SCOTIA,TORONTO-DOMINION BANK,-1.7721240957486204,0.3943864657018589,0.05,,False,0.8029974703980014,0.6797841538157661,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,SU.TO,CDN NATURAL RES,SUNCOR ENERGY INC.,-2.782571040953352,0.06080682225860617,0.05,,False,0.7631630858974795,0.7214481090251534,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,SU.TO,CENOVUS ENERGY INC.,SUNCOR ENERGY INC.,-2.443723815654997,0.12977391997650073,0.05,,False,1.1512191016067717,-1.5064433618267028,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,IMO.TO,CENOVUS ENERGY INC.,IMPERIAL OIL,-2.3650705953580866,0.15183857870167017,0.05,,False,1.0395903707249325,-1.7748437000658424,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,IMO.TO,CDN NATURAL RES,IMPERIAL OIL,-2.2798396617377956,0.17855253850156172,0.05,,False,0.6725171983928278,0.6223447648681124,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,CVE.TO,CDN NATURAL RES,CENOVUS ENERGY INC.,-2.2506742016872825,0.18837004415410374,0.05,,False,0.6679146343475996,1.7043632252876466,,,,,,,,,,,,,,
CA_ENERGY,IMO.TO,SU.TO,IMPERIAL OIL,SUNCOR ENERGY INC.,-1.8161413016930963,0.3724779417054819,0.05,,False,1.1035777817550698,0.2735423593444164,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,UBSG.SW,JULIUS BAER N,UBS GROUP N,-3.1693898882098854,0.021826300999878753,0.05,,False,0.7792743943798816,1.3705866603008063,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,ZURN.SW,JULIUS BAER N,ZURICH INSURANCE N,-2.6524759104751796,0.08262916396556313,0.05,,False,1.4856604858901055,-5.289065592056,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,SLHN.SW,JULIUS BAER N,SWISS LIFE HOLDING AG N,-2.3190538288743774,0.16589634871839615,0.05,,False,0.9196415827877811,-2.1033379815655127,,,,,,,,,,,,,,
CH_FINANCIALS,UBSG.SW,ZURN.SW,UBS GROUP N,ZURICH INSURANCE N,-2.2952276352851655,0.17351177422854341,0.05,,False,2.144337095359847,-10.030655625621215,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,ZURN.SW,SWISS LIFE HOLDING AG N,ZURICH INSURANCE N,-2.11011703740395,0.24046599809079933,0.05,,False,1.5054444302667955,-2.7773148174418036,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,UBSG.SW,SWISS LIFE HOLDING AG N,UBS GROUP N,-2.0997887002076836,0.2445995746992881,0.05,,False,0.8169665299169597,3.879423536662961,,,,,,,,,,,,,,
CH_PHARMA_LIFESCIENCE,LONN.SW,NOVN.SW,LONZA N,NOVARTIS N,-4.6471083180305355,0.00010566622677829395,0.05,0.00010566622677829395,True,-0.24536211114839312,7.403555771136727,10.761121623462925,0.00042902991261256385,-0.0644121686208478,32.0,0.08804768032260765,3.247128209660946,False,,0.2,0.023150125312996116,0.39522528777474175,0.3504814169348317,True,mixed signal
CONSUMER,ABF.L,DNLM.L,ASSOCIATED BRITISH FOODS PLC OR,DUNELM GROUP PLC ORD 1P,-4.103015761586559,0.000957467282285871,0.05,0.004981184810456444,True,0.5706212046620553,3.6740327841647193,12.101641853077755,-0.00017279049543290036,-0.057277119003787104,36.0,-1.170170575140982,3.8764904934965183,False,,0.6,0.015313123042775406,0.5358761810120816,0.8108011496627681,True,reversion signs agree
CONSUMER,EZJ.L,MKS.L,EASYJET PLC ORD 27 2/7P,MARKS AND SPENCER GROUP PLC ORD,-4.008859573945119,0.0013648238580568533,0.05,0.004981184810456444,True,3.456080229950569,-14.128306747708804,15.799623121481737,-0.0013505614660036143,-0.043871121179942414,47.0,1.260002755889016,2.520622239784922,True,2026-09-18 00:00:00,0.6,-0.019851901560508943,-0.2634332615138657,-0.593174346200301,True,reversion signs agree
CONSUMER,DOM.L,MKS.L,DOMINO'S PIZZA GROUP PLC ORD 25,MARKS AND SPENCER GROUP PLC ORD,-3.9782933386129162,0.001528537417199042,0.05,0.004981184810456444,True,104.20494078986711,-606.6541750190553,16.386870391427156,-0.05685618850135701,-0.04229893591655961,49.0,1.2810398008012767,2.6596766547331647,True,2026-09-18 00:00:00,0.6,-0.9891284747839003,-0.296251016109617,-0.7036760131101198,True,reversion signs agree
CONSUMER,MKS.L,PETS.L,MARKS AND SPENCER GROUP PLC ORD,PETS AT HOME GROUP PLC ORD 1P,-3.9606365676880086,0.0016312510545545599,0.05,0.004981184810456444,True,-0.019528699420507584,5.9805348670887915,16.359066182062794,0.000516863188519488,-0.04237082806841136,49.0,-1.2787996079301753,2.634490918329505,True,2026-09-18 00:00:00,0.6,0.009250001737706036,0.28978698048307017,0.726509751536103,True,reversion signs agree
CONSUMER,GRG.L,MKS.L,GREGGS PLC ORD 2P,MARKS AND SPENCER GROUP PLC ORD,-3.958463901127588,0.0016443240289099321,0.05,0.004981184810456444,True,-100.82624112101904,599.8734249239349,16.37950336414384,0.05305526693974591,-0.042317960755593166,49.0,-1.26760222170931,2.610506416079489,True,2026-09-18 00:00:00,0.6,0.955282083486719,0.29323243062405613,0.7197379660419301,True,reversion signs agree
CONSUMER,BME.L,MKS.L,B&M EUROPEAN VALUE RETAIL PLC O,MARKS AND SPENCER GROUP PLC ORD,-3.9575875251235697,0.00164962470115516,0.05,0.004981184810456444,True,-200.78872584244337,1185.0527380385358,16.40821688326281,0.10617784734472044,-0.04224390654337277,49.0,-1.2672849795984207,2.634403782146963,True,2026-09-18 00:00:00,0.6,1.910491589891626,0.2964325787124984,0.7206728373915019,True,reversion signs agree
CONSUMER,MKS.L,WTB.L,MARKS AND SPENCER GROUP PLC ORD,WHITBREAD PLC ORD 76 122/153P,-3.9473270387146853,0.0017128766004997137,0.05,0.004981184810456444,True,0.26185033476684993,3.7980925768503613,17.09953831176884,0.0006301423653312968,-0.040536017284331205,51.0,-1.1577634938154002,2.7478108888486963,True,2026-09-18 00:00:00,0.4,0.010602146154299621,0.2900900479978292,0.7407174173525246,True,mixed signal
CONSUMER,IHG.L,MKS.L,INTERCONTINENTAL HOTELS GROUP P,MARKS AND SPENCER GROUP PLC ORD,-3.940009944026483,0.0017593515076223727,0.05,0.004981184810456444,True,13.340433186405152,-73.55003230429597,16.723564269104287,-0.0062587039185191765,-0.04144733559223916,50.0,1.2815553133390936,2.5811755163842105,True,2026-09-18 00:00:00,0.4,-0.12202312992535243,-0.27728220133739967,-0.748532287106008,True,mixed signal
CONSUMER,DNLM.L,MKS.L,DUNELM GROUP PLC ORD 1P,MARKS AND SPENCER GROUP PLC ORD,-3.937121032292708,0.0017780208020634783,0.05,0.004981184810456444,True,25.388039977585443,-142.1846325366137,16.735884002405477,-0.0141179517192176,-0.04141682509632106,50.0,1.2375539407032212,2.625353912228277,True,2026-09-18 00:00:00,0.6,-0.2623989939564735,-0.28744113185567466,-0.7312553004905702,True,reversion signs agree
CONSUMER,ABF.L,MKS.L,ASSOCIATED BRITISH FOODS PLC OR,MARKS AND SPENCER GROUP PLC ORD,-3.9188726085142336,0.0019002627142534795,0.05,0.004981184810456444,True,-8.254429314001637,56.12984971179692,16.131214083018936,0.003969250833105633,-0.04296931260056922,48.0,-1.3682861819138408,2.7531733050624854,True,2026-09-18 00:00:00,0.4,0.08137533279278493,0.289235210079978,0.6518923043343043,True,mixed signal
CONSUMER,DOM.L,TSCO.L,DOMINO'S PIZZA GROUP PLC ORD 25,TESCO PLC ORD 6 1/3P,-3.8450941101128584,0.002478213680611193,0.05,0.004981184810456444,True,-1.9351150825393577,17.07070870576444,13.635901304781575,0.0005501793580776474,-0.05083251668277225,41.0,0.5513396638681869,2.968999578950234,False,,0.4,0.04157270741485519,0.4974254695407923,1.6397089601858896,True,mixed signal
CONSUMER,MKS.L,NXT.L,MARKS AND SPENCER GROUP PLC ORD,NEXT PLC ORD 10P,-3.7768230073797064,0.0031535493414821215,0.05,0.004981184810456444,True,0.1214427635921296,4.737994299188744,17.692408740421175,0.000424776836644244,-0.03917766035872426,53.0,-1.1008471527734118,2.5435912291087623,True,2026-09-18 00:00:00,0.8,0.008744612039317956,0.2974874927978637,0.6751055208684926,True,reversion signs agree
CONSUMER,MKS.L,SBRY.L,MARKS AND SPENCER GROUP PLC ORD,SAINSBURY (J) PLC ORD 28 4/7P,-3.666165831640912,0.0046150305287818195,0.05,0.004981184810456444,True,0.14963913244145696,5.024391108299781,18.22554333747734,0.00047720703211376,-0.038031633281111615,55.0,-1.1645484850981638,2.698485632141186,True,2026-09-18 00:00:00,0.4,0.007277529491614123,0.24102482331434238,0.5965403750929834,True,mixed signal
CONSUMER,MKS.L,TSCO.L,MARKS AND SPENCER GROUP PLC ORD,TESCO PLC ORD 6 1/3P,-3.643538720977525,0.004981184810456444,0.05,0.004981184810456444,True,0.14248249506955088,5.020524917724473,18.244133161863754,0.00042383052397204597,-0.03799288102154676,55.0,-1.23020346536998,2.747659133158773,True,2026-09-18 00:00:00,0.8,0.0068464652575467595,0.22289026491393038,0.5247768955615233,True,reversion signs agree
CONSUMER,DNLM.L,WTB.L,DUNELM GROUP PLC ORD 1P,WHITBREAD PLC ORD 76 122/153P,-3.3843109197989363,0.011505481244101402,0.05,0.004981184810456444,False,1.6289874578717862,-5.964160211679072,,,,,,,,,,,,,,
CONSUMER,BME.L,TSCO.L,B&M EUROPEAN VALUE RETAIL PLC O,TESCO PLC ORD 6 1/3P,-3.3820821257550926,0.011585068924756232,0.05,0.004981184810456444,False,-3.0508718135929045,23.843337021440746,,,,,,,,,,,,,,
CONSUMER,DOM.L,SBRY.L,DOMINO'S PIZZA GROUP PLC ORD 25,SAINSBURY (J) PLC ORD 28 4/7P,-3.343406685341396,0.013046234320222625,0.05,0.004981184810456444,False,-2.3268645968985346,18.69114724589842,,,,,,,,,,,,,,
CONSUMER,DOM.L,NXT.L,DOMINO'S PIZZA GROUP PLC ORD 25,NEXT PLC ORD 10P,-3.292826963941088,0.01520216997191521,0.05,0.004981184810456444,False,-1.6552198149835,20.962652353504396,,,,,,,,,,,,,,
CONSUMER,ABF.L,PETS.L,ASSOCIATED BRITISH FOODS PLC OR,PETS AT HOME GROUP PLC ORD 1P,-3.2097019778308318,0.019429914478968885,0.05,0.004981184810456444,False,0.4719473583126387,5.073265293617293,,,,,,,,,,,,,,
