sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.6224111206021545,0.005346749688589584,0.05,,False,1.1138374320765072,-1.4575942996195526,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.058891449922569,0.029748800137437748,0.05,,False,1.1007311801823796,-0.7945082415477405,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.8004481083918398,0.05820978747880829,0.05,,False,1.2844981088895093,-1.7685108380291457,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.689141775174069,0.07593613701654817,0.05,,False,1.01324483015872,-0.6602307422335896,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.6880544106278115,0.07612828675241491,0.05,,False,0.848597916465517,1.1119835717447089,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.5204927606651064,0.11056749688151751,0.05,,False,0.7887898659435159,0.7349784717094896,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.26861139996963,0.1822913002265945,0.05,,False,0.722199717718385,1.9128114679823747,,,,,,,,,,,,,,
CA_BANKS,CM.TO,RY.TO,CANADIAN IMPERIAL BANK OF COMME,ROYAL BANK OF CANADA,-2.214495576975735,0.2010265264051589,0.05,,False,1.411322083965593,-2.7757003835345193,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.2098735633796562,0.20268145965539708,0.05,,False,1.2040770785729966,-1.2769585405554738,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.1649913898182342,0.21919594734012693,0.05,,False,0.8695917894826152,1.0261789547881475,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.0796677549207154,0.25276849575721083,0.05,,False,1.0280351135414043,-0.11614344229623974,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.049420408110505,0.26533284708991245,0.05,,False,1.0948040719952898,-0.41237528518622835,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.047959709584725,0.2659481104721403,0.05,,False,0.7940390661871138,1.3151271128403814,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,BNS.TO,BANK OF MONTREAL,BANK OF NOVA SCOTIA,-1.9614983405690813,0.3037055775239166,0.05,,False,1.0786746566833916,0.3088944966513827,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,TD.TO,BANK OF NOVA SCOTIA,TORONTO-DOMINION BANK,-1.6942509268145773,0.4340769801559594,0.05,,False,0.8039456340378651,0.6750985421479494,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,SU.TO,CDN NATURAL RES,SUNCOR ENERGY INC.,-2.54377727755903,0.1051828199399662,0.05,,False,0.7596071351095113,0.7366243040418232,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,IMO.TO,CENOVUS ENERGY INC.,IMPERIAL OIL,-2.317091721754312,0.16651478908033668,0.05,,False,1.0226208282673062,-1.6921649762353135,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,CVE.TO,CDN NATURAL RES,CENOVUS ENERGY INC.,-2.3024599565655834,0.17117581401455773,0.05,,False,0.6713549293991324,1.6931603100377601,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,SU.TO,CENOVUS ENERGY INC.,SUNCOR ENERGY INC.,-2.2235541529892666,0.19780798360171303,0.05,,False,1.140380054406408,-1.4608279847157424,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,IMO.TO,CDN NATURAL RES,IMPERIAL OIL,-2.135022504459075,0.23066698867490998,0.05,,False,0.66461742917516,0.660799952538861,,,,,,,,,,,,,,
CA_ENERGY,IMO.TO,SU.TO,IMPERIAL OIL,SUNCOR ENERGY INC.,-1.8787416261536818,0.3421268462775803,0.05,,False,1.1090501310538488,0.2508683037469064,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,UBSG.SW,JULIUS BAER N,UBS GROUP N,-2.88566080364962,0.04704104058598044,0.05,,False,0.7946093620701598,1.3191937405738638,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,ZURN.SW,JULIUS BAER N,ZURICH INSURANCE N,-2.799423534748965,0.05835615921959281,0.05,,False,1.4398540035031169,-5.002098523463773,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,SLHN.SW,JULIUS BAER N,SWISS LIFE HOLDING AG N,-2.53686642439846,0.10676000928944962,0.05,,False,0.8884059165458817,-1.8965764648460004,,,,,,,,,,,,,,
CH_FINANCIALS,UBSG.SW,ZURN.SW,UBS GROUP N,ZURICH INSURANCE N,-2.3018532757420074,0.1713709498847592,0.05,,False,2.044484588237741,-9.405248856010125,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,ZURN.SW,SWISS LIFE HOLDING AG N,ZURICH INSURANCE N,-2.188373464256939,0.21049224773622605,0.05,,False,1.5040280761566664,-2.767729457746375,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,UBSG.SW,SWISS LIFE HOLDING AG N,UBS GROUP N,-2.16097744291078,0.2207118758957915,0.05,,False,0.8644534391092566,3.720038549504336,,,,,,,,,,,,,,
CH_PHARMA_LIFESCIENCE,LONN.SW,NOVN.SW,LONZA N,NOVARTIS N,-4.551048640924856,0.00015883828365668995,0.05,0.00015883828365668995,True,-0.2455240306730877,7.40195848878748,11.87586814241314,0.00023225597327555488,-0.05836602194027896,36.0,-1.731827814453377,3.2305245463670165,True,2026-09-11 00:00:00,0.4,0.005684623623346522,0.21053909152157568,-0.09973172408754327,True,mixed signal
CONSUMER,ABF.L,DNLM.L,ASSOCIATED BRITISH FOODS PLC OR,DUNELM GROUP PLC ORD 1P,-3.900487569294547,0.0020312617934782574,0.05,,False,0.5929906519397677,3.5194860264296555,,,,,,,,,,,,,,
CONSUMER,EZJ.L,MKS.L,EASYJET PLC ORD 27 2/7P,MARKS AND SPENCER GROUP PLC ORD,-3.583278530355994,0.0060888717149212325,0.05,,False,3.214166780039738,-12.700523148302022,,,,,,,,,,,,,,
CONSUMER,MKS.L,WTB.L,MARKS AND SPENCER GROUP PLC ORD,WHITBREAD PLC ORD 76 122/153P,-3.5714225611452166,0.006331465533534908,0.05,,False,0.270005538779237,3.7301224913549733,,,,,,,,,,,,,,
CONSUMER,DOM.L,MKS.L,DOMINO'S PIZZA GROUP PLC ORD 25,MARKS AND SPENCER GROUP PLC ORD,-3.5543080902156765,0.0066970988374603305,0.05,,False,-710.5828438560728,4177.714257715933,,,,,,,,,,,,,,
CONSUMER,DNLM.L,MKS.L,DUNELM GROUP PLC ORD 1P,MARKS AND SPENCER GROUP PLC ORD,-3.5465949932115803,0.006868035506995579,0.05,,False,21.979246675034318,-122.09705880121247,,,,,,,,,,,,,,
CONSUMER,DOM.L,TSCO.L,DOMINO'S PIZZA GROUP PLC ORD 25,TESCO PLC ORD 6 1/3P,-3.545798112834857,0.00688591860008188,0.05,,False,-1.898622194535816,16.84960872466426,,,,,,,,,,,,,,
CONSUMER,GRG.L,MKS.L,GREGGS PLC ORD 2P,MARKS AND SPENCER GROUP PLC ORD,-3.5392896244182817,0.007033559719150755,0.05,,False,-44.229613110836326,267.29471589211374,,,,,,,,,,,,,,
