sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.7322991341099176,0.003681106168434018,0.05,,False,1.113991740522548,-1.4585685744452652,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.0953005838928758,0.026902926692919018,0.05,,False,1.1000449320236643,-0.791033654917312,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.706547783331754,0.0729120540145863,0.05,,False,1.2821314001465434,-1.7568759598410564,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.6430805767614856,0.08441619149364621,0.05,,False,1.0140266917878746,-0.6641636794869195,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.6364915303574983,0.08568727770593493,0.05,,False,0.8505721713970713,1.1029380264034474,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.524467869973596,0.10963395494329109,0.05,,False,0.7908718472338564,0.7254238158182611,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.3050556565259677,0.17034260591267858,0.05,,False,0.7220516062434597,1.9136812425363945,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.253858736986046,0.1872813184565909,0.05,,False,1.2038334412662406,-1.2758631171362076,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.186205475650959,0.21129011328826564,0.05,,False,0.8692101768818091,1.0279802055901097,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.1012049895713805,0.2440303452841227,0.05,,False,1.0251181624392907,-0.10275263241917099,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.0575128131008538,0.26193833387965393,0.05,,False,1.095285442410627,-0.41481840531391434,,,,,,,,,,,,,,
CA_BANKS,CM.TO,RY.TO,CANADIAN IMPERIAL BANK OF COMME,ROYAL BANK OF CANADA,-2.044182719361427,0.26754261616539227,0.05,,False,1.4079432588279017,-2.75827926441782,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.0268955633918164,0.27490624208316305,0.05,,False,0.7933538014528139,1.3183693839660107,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,BNS.TO,BANK OF MONTREAL,BANK OF NOVA SCOTIA,-1.9683760479864199,0.30060886497518013,0.05,,False,1.078309214854752,0.3104961280199303,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,TD.TO,BANK OF NOVA SCOTIA,TORONTO-DOMINION BANK,-1.7137542796066312,0.42404015428536707,0.05,,False,0.8038806901361388,0.6754411513676724,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,SU.TO,CDN NATURAL RES,SUNCOR ENERGY INC.,-2.5518355055906814,0.10336598234327932,0.05,,False,0.7604510861493047,0.7330997237634906,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,CVE.TO,CDN NATURAL RES,CENOVUS ENERGY INC.,-2.414371194617683,0.1377212600652164,0.05,,False,0.6708406884292075,1.694884094184923,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,IMO.TO,CENOVUS ENERGY INC.,IMPERIAL OIL,-2.3343441266959086,0.16113038012963488,0.05,,False,1.026112727637827,-1.7091501132118205,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,SU.TO,CENOVUS ENERGY INC.,SUNCOR ENERGY INC.,-2.2719370250057893,0.18117861055070922,0.05,,False,1.1425080291464562,-1.4697635207971729,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,IMO.TO,CDN NATURAL RES,IMPERIAL OIL,-2.1260393940224187,0.23417374061677781,0.05,,False,0.6664128089954305,0.6521283333550532,,,,,,,,,,,,,,
CA_ENERGY,IMO.TO,SU.TO,IMPERIAL OIL,SUNCOR ENERGY INC.,-1.8874798563213058,0.33797370961113343,0.05,,False,1.1078203534948075,0.25596517199455704,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,UBSG.SW,JULIUS BAER N,UBS GROUP N,-2.9009023957396796,0.04524316171321284,0.05,,False,0.790841287029952,1.331732634703286,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,ZURN.SW,JULIUS BAER N,ZURICH INSURANCE N,-2.7576508209861164,0.06458229807393814,0.05,,False,1.4473766244070865,-5.049270785941362,,,,,,,,,,,,,,
CH_FINANCIALS,BAER.SW,SLHN.SW,JULIUS BAER N,SWISS LIFE HOLDING AG N,-2.487586452140188,0.11852396411976257,0.05,,False,0.893366450976351,-1.9294779781165108,,,,,,,,,,,,,,
CH_FINANCIALS,UBSG.SW,ZURN.SW,UBS GROUP N,ZURICH INSURANCE N,-2.277649703692102,0.17927773097239524,0.05,,False,2.0643735144576407,-9.529674913936343,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,ZURN.SW,SWISS LIFE HOLDING AG N,ZURICH INSURANCE N,-2.1868287445088717,0.21106054527830287,0.05,,False,1.5047290442353216,-2.772204281750117,,,,,,,,,,,,,,
CH_FINANCIALS,SLHN.SW,UBSG.SW,SWISS LIFE HOLDING AG N,UBS GROUP N,-2.152968506374922,0.22375554931779712,0.05,,False,0.8551712276854748,3.751159677124503,,,,,,,,,,,,,,
CH_PHARMA_LIFESCIENCE,LONN.SW,NOVN.SW,LONZA N,NOVARTIS N,-4.7660600930958195,6.312713415693438e-05,0.05,6.312713415693438e-05,True,-0.2476244440445001,7.411829259988132,11.49321241444805,0.00026609159294393986,-0.06030926389984701,34.0,-1.2267577373774756,3.196532305103179,True,2026-09-11 00:00:00,0.2,0.018685960797450715,0.4420446558358453,0.22948900999188093,True,mixed signal
CONSUMER,ABF.L,DNLM.L,ASSOCIATED BRITISH FOODS PLC OR,DUNELM GROUP PLC ORD 1P,-3.981676768362011,0.0015095553582841583,0.05,0.006802712731304372,True,0.5895528121965486,3.543220744626356,12.835121561086344,-0.00020136971610333954,-0.05400394357474854,39.0,-1.214739753259181,4.12153120441578,False,,0.8,-0.0002070452245594833,-0.18173701229875894,-0.3033055800225155,False,mixed signal
CONSUMER,MKS.L,WTB.L,MARKS AND SPENCER GROUP PLC ORD,WHITBREAD PLC ORD 76 122/153P,-3.8379737792812585,0.0025418336255350832,0.05,0.006802712731304372,True,0.26942576027247445,3.735142739433227,18.947869661874005,0.0004364093599167801,-0.036581800114166015,57.0,-2.062094423170784,2.062094423170784,False,,0.6,-0.013795519905392418,-0.6311530535477603,-0.047852167698723136,False,mixed signal
CONSUMER,EZJ.L,MKS.L,EASYJET PLC ORD 27 2/7P,MARKS AND SPENCER GROUP PLC ORD,-3.8158056949787436,0.002749679312193747,0.05,0.006802712731304372,True,3.2548153267793367,-12.939964157138403,17.95690101242305,-0.0008521514540662595,-0.038600601522523745,54.0,1.91657276102658,2.4541944407516225,False,,0.4,0.06202540050748246,0.38220494531600013,0.09287114499910598,False,mixed signal
CONSUMER,DOM.L,MKS.L,DOMINO'S PIZZA GROUP PLC ORD 25,MARKS AND SPENCER GROUP PLC ORD,-3.7659238609382935,0.0032758464124065375,0.05,0.006802712731304372,True,1140.9258001557662,-6693.889123864979,18.393864368844053,-0.36967526505809134,-0.0376836083305047,55.0,1.9939016868679769,2.0627450844689137,False,,0.6,17.374470543756296,0.4926721949437416,0.08454003894153961,False,mixed signal
