sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.6947110616856706,0.004188165831911313,0.05,,False,1.114067566541693,-1.458609746520433,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.060435918101379,0.02962305880845087,0.05,,False,1.1015809389385696,-0.7988018432028667,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.85904844939778,0.05032155815210199,0.05,,False,1.2864423770442255,-1.778118966303322,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.6859331688633348,0.07650423679280655,0.05,,False,1.0126703798353096,-0.6573424433352182,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.684243328126945,0.0768047740347472,0.05,,False,0.8469579281569559,1.1195085165700678,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.6317553161929848,0.08661007370666501,0.05,,False,0.7871389392245315,0.7425876928762025,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.2922580949955114,0.1744770488600334,0.05,,False,0.7222899683522532,1.9121978228344512,,,,,,,,,,,,,,
CA_BANKS,CM.TO,RY.TO,CANADIAN IMPERIAL BANK OF COMME,ROYAL BANK OF CANADA,-2.283901144387185,0.17721275204962167,0.05,,False,1.4144498149388491,-2.791831035987798,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.2200644604448967,0.19904397174126104,0.05,,False,1.2045514653021137,-1.2792622413797279,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.184589199618133,0.21188615588368565,0.05,,False,0.8700753328488977,1.0238965805172282,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.0927100716465015,0.24745600417026065,0.05,,False,1.0306731356711338,-0.12829081789235008,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.049161698691743,0.26544176196393543,0.05,,False,0.7947868719050409,1.3116232371948047,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.029875420441435,0.2736293092308981,0.05,,False,1.094369249172954,-0.41020418422598137,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,BNS.TO,BANK OF MONTREAL,BANK OF NOVA SCOTIA,-1.9593776652897876,0.30466353879410923,0.05,,False,1.0788639085072493,0.3080380749863556,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,TD.TO,BANK OF NOVA SCOTIA,TORONTO-DOMINION BANK,-1.7030236242208263,0.42955529192017416,0.05,,False,0.8042406412051026,0.6737100225083341,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,SU.TO,CDN NATURAL RES,SUNCOR ENERGY INC.,-2.611268585103612,0.09069057391181345,0.05,,False,0.7588814508074433,0.7397037459382267,,,,,,,,,,,,,,
CA_ENERGY,CVE.TO,IMO.TO,CENOVUS ENERGY INC.,IMPERIAL OIL,-2.4119314620490413,0.1383971211224317,0.05,,False,1.0194768889266224,-1.6720149378567237,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,CVE.TO,CDN NATURAL RES,CENOVUS ENERGY INC.,-2.302189655006287,0.17126273672545106,0.05,,False,0.6717135431817483,1.6887364489646113,,,,,,,,,,,,,,
CA_ENERGY,CNQ.TO,IMO.TO,CDN NATURAL RES,IMPERIAL OIL,-2.2579349331839516,0.18589374608460907,0.05,,False,0.6627546456754607,0.6698323146873371,,,,,,,,,,,,,,
